measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,metric_id,metric_name,year,val,upper,lower
50,Live births,133,Venezuela (Bolivarian Republic of),3,Both,7,10-14 years,1,Number,2023,2918.3931692735678,6063.830547535652,1303.8567880314436
50,Live births,133,Venezuela (Bolivarian Republic of),3,Both,8,15-19 years,1,Number,2023,81147.84433183953,93041.63708137849,69683.67703125223
50,Live births,133,Venezuela (Bolivarian Republic of),3,Both,9,20-24 years,1,Number,2023,83141.9702449266,97467.76712274054,69204.13068474848
50,Live births,133,Venezuela (Bolivarian Republic of),3,Both,10,25-29 years,1,Number,2023,62061.90696097501,69558.1780949848,55333.99137908704
50,Live births,133,Venezuela (Bolivarian Republic of),3,Both,11,30-34 years,1,Number,2023,56952.03769810281,67151.71193507919,47801.50692709157
50,Live births,133,Venezuela (Bolivarian Republic of),3,Both,12,35-39 years,1,Number,2023,31743.160044076234,39157.22015544793,25347.942540253225
50,Live births,133,Venezuela (Bolivarian Republic of),3,Both,13,40-44 years,1,Number,2023,10329.363805286563,13311.998346131082,7844.087109178558
50,Live births,133,Venezuela (Bolivarian Republic of),3,Both,14,45-49 years,1,Number,2023,755.0291005072052,1058.3311055605263,515.1329200886338
50,Live births,133,Venezuela (Bolivarian Republic of),3,Both,15,50-54 years,1,Number,2023,60.72721474807318,62.17299261944248,59.264432052280675
50,Live births,133,Venezuela (Bolivarian Republic of),3,Both,162,10-19 years,1,Number,2023,84066.23750111311,96227.49307052194,71991.58193292348
50,Live births,133,Venezuela (Bolivarian Republic of),3,Both,169,10-54 years,1,Number,2023,329110.43256973557,380528.1595128655,280250.8604492378
50,Live births,133,Venezuela (Bolivarian Republic of),3,Both,215,35-54 years,1,Number,2023,42888.280164618074,53441.094480469146,34037.81227401216
50,Live births,133,Venezuela (Bolivarian Republic of),3,Both,218,40-54 years,1,Number,2023,11145.12012054184,14448.729336097445,8465.216914287654
50,Live births,169,Central African Republic,3,Both,7,10-14 years,1,Number,2023,2776.3073094276715,5827.024298249093,1220.6859494744674
50,Live births,169,Central African Republic,3,Both,8,15-19 years,1,Number,2023,57722.83160333753,62481.5217397176,53191.82477183563
50,Live births,169,Central African Republic,3,Both,9,20-24 years,1,Number,2023,74092.44314646897,80101.04925713855,68322.33612149478
50,Live births,169,Central African Republic,3,Both,10,25-29 years,1,Number,2023,60544.47803320047,63602.128866188905,57765.538151548266
50,Live births,169,Central African Republic,3,Both,11,30-34 years,1,Number,2023,45525.14762588047,48532.68096425498,42570.207320620386
50,Live births,169,Central African Republic,3,Both,12,35-39 years,1,Number,2023,30352.64883738888,33167.88751528509,27846.05464595358
50,Live births,169,Central African Republic,3,Both,13,40-44 years,1,Number,2023,12713.57008376235,14188.242065353634,11352.728283158753
50,Live births,169,Central African Republic,3,Both,14,45-49 years,1,Number,2023,2654.910907510245,3273.524088410527,2098.646698298416
50,Live births,169,Central African Republic,3,Both,15,50-54 years,1,Number,2023,185.91239493139722,190.33854929596257,181.43418140938468
50,Live births,169,Central African Republic,3,Both,162,10-19 years,1,Number,2023,60499.13891276521,65818.4249344366,55013.517064331056
50,Live births,169,Central African Republic,3,Both,169,10-54 years,1,Number,2023,286568.249941908,303616.6772022575,270362.50271908066
50,Live births,169,Central African Republic,3,Both,215,35-54 years,1,Number,2023,45907.04222359287,50134.53087198018,41875.592077757035
50,Live births,169,Central African Republic,3,Both,218,40-54 years,1,Number,2023,15554.393386203994,17229.15358606762,13952.056119203418
50,Live births,171,Democratic Republic of the Congo,3,Both,7,10-14 years,1,Number,2023,22782.07102182449,47316.61835271684,10185.295302756258
50,Live births,171,Democratic Republic of the Congo,3,Both,8,15-19 years,1,Number,2023,371646.4438241028,432072.8530211644,321222.4704569109
50,Live births,171,Democratic Republic of the Congo,3,Both,9,20-24 years,1,Number,2023,818118.6613966359,921762.9980926891,725087.6050208113
50,Live births,171,Democratic Republic of the Congo,3,Both,10,25-29 years,1,Number,2023,722787.4757433734,778233.5414061641,676329.5649826921
50,Live births,171,Democratic Republic of the Congo,3,Both,11,30-34 years,1,Number,2023,623083.8051827507,669305.5644014756,573975.8386314159
50,Live births,171,Democratic Republic of the Congo,3,Both,12,35-39 years,1,Number,2023,383186.0322418828,422678.4522197013,343629.173911887
50,Live births,171,Democratic Republic of the Congo,3,Both,13,40-44 years,1,Number,2023,149965.38289042606,169836.57720767782,130568.54898455489
50,Live births,171,Democratic Republic of the Congo,3,Both,14,45-49 years,1,Number,2023,25258.30394462315,31698.794635515504,19438.942535680766
50,Live births,171,Democratic Republic of the Congo,3,Both,15,50-54 years,1,Number,2023,1898.095539428129,1943.2849086431395,1852.3746658205635
50,Live births,171,Democratic Republic of the Congo,3,Both,162,10-19 years,1,Number,2023,394428.5148459273,455888.2967476266,343860.514009462
50,Live births,171,Democratic Republic of the Congo,3,Both,169,10-54 years,1,Number,2023,3118726.2717850474,3364117.673526443,2901029.2727059466
50,Live births,171,Democratic Republic of the Congo,3,Both,215,35-54 years,1,Number,2023,560307.8146163601,625515.8295871004,497625.2402019298
50,Live births,171,Democratic Republic of the Congo,3,Both,218,40-54 years,1,Number,2023,177121.78237447733,203239.48263936708,152378.5345556147
50,Live births,211,Mali,3,Both,7,10-14 years,1,Number,2023,10014.860955010736,20972.831712789262,4417.796426650631
50,Live births,211,Mali,3,Both,8,15-19 years,1,Number,2023,174374.0304955828,193063.49614402314,158167.44537689438
50,Live births,211,Mali,3,Both,9,20-24 years,1,Number,2023,279951.68442053895,301788.0565707159,258593.8982679972
50,Live births,211,Mali,3,Both,10,25-29 years,1,Number,2023,251256.16576532653,262968.3211805946,240664.09104448993
50,Live births,211,Mali,3,Both,11,30-34 years,1,Number,2023,182782.0241037,194350.29233603703,171690.41888705647
50,Live births,211,Mali,3,Both,12,35-39 years,1,Number,2023,107662.16312176253,116763.09019275458,98536.34508329157
50,Live births,211,Mali,3,Both,13,40-44 years,1,Number,2023,40483.053564014415,44864.72393183864,36315.81976646901
50,Live births,211,Mali,3,Both,14,45-49 years,1,Number,2023,11527.061421813176,13296.300537598818,9768.867864249401
50,Live births,211,Mali,3,Both,15,50-54 years,1,Number,2023,803.3423924259677,822.4681609783474,783.9916720724618
50,Live births,211,Mali,3,Both,162,10-19 years,1,Number,2023,184388.89145059354,202980.2025066187,167603.3895009526
50,Live births,211,Mali,3,Both,169,10-54 years,1,Number,2023,1058854.386240175,1121520.813431253,1000429.800641937
50,Live births,211,Mali,3,Both,215,35-54 years,1,Number,2023,160475.62050001608,175560.9650549809,145744.41620162345
50,Live births,211,Mali,3,Both,218,40-54 years,1,Number,2023,52813.45737825356,58887.00242606708,46966.81372198791
50,Live births,213,Niger,3,Both,7,10-14 years,1,Number,2023,10247.08394355295,21491.720828528694,4509.438635630914
50,Live births,213,Niger,3,Both,8,15-19 years,1,Number,2023,228657.4772817018,250249.26827347535,209018.6891325538
50,Live births,213,Niger,3,Both,9,20-24 years,1,Number,2023,351533.8145665655,370918.2278817423,332636.2114807622
50,Live births,213,Niger,3,Both,10,25-29 years,1,Number,2023,284565.63660596736,293427.85583149554,275892.8057770102
50,Live births,213,Niger,3,Both,11,30-34 years,1,Number,2023,207574.47846768997,214730.77775152214,200195.5107504345
50,Live births,213,Niger,3,Both,12,35-39 years,1,Number,2023,115085.64853100713,122243.38722534152,107370.54999097151
50,Live births,213,Niger,3,Both,13,40-44 years,1,Number,2023,48467.97433686915,52511.463480644234,44349.3713557077
50,Live births,213,Niger,3,Both,14,45-49 years,1,Number,2023,14309.624223411456,15921.457872271485,12548.730293757177
50,Live births,213,Niger,3,Both,15,50-54 years,1,Number,2023,980.2639428428331,1003.6018140516936,956.6515782901604
50,Live births,213,Niger,3,Both,162,10-19 years,1,Number,2023,238904.56122525476,261428.63541327562,217883.33006044224
50,Live births,213,Niger,3,Both,169,10-54 years,1,Number,2023,1261422.0018996082,1322030.3698388482,1207353.352801345
50,Live births,213,Niger,3,Both,215,35-54 years,1,Number,2023,178843.51103413058,191643.9548959759,165611.594792492
50,Live births,213,Niger,3,Both,218,40-54 years,1,Number,2023,63757.86250312344,69405.68550978665,58001.256257932044
50,Live births,214,Nigeria,3,Both,7,10-14 years,1,Number,2023,94341.56756760107,195855.66045201998,42207.07069968884
50,Live births,214,Nigeria,3,Both,8,15-19 years,1,Number,2023,1042096.3128255529,1218485.4170254718,892418.8472245265
50,Live births,214,Nigeria,3,Both,9,20-24 years,1,Number,2023,2377674.215640152,2679992.977421856,2101269.8458295413
50,Live births,214,Nigeria,3,Both,10,25-29 years,1,Number,2023,2086169.971084545,2219295.6119620376,1955257.3148574294
50,Live births,214,Nigeria,3,Both,11,30-34 years,1,Number,2023,1549767.4154544317,1683161.3189345435,1411183.1181691524
50,Live births,214,Nigeria,3,Both,12,35-39 years,1,Number,2023,833577.6118437572,938553.5094986698,726417.6403311183
50,Live births,214,Nigeria,3,Both,13,40-44 years,1,Number,2023,361352.0917147516,416690.33127227554,307495.60765999573
50,Live births,214,Nigeria,3,Both,14,45-49 years,1,Number,2023,140863.79757801502,165425.38134190426,117924.82549791409
50,Live births,214,Nigeria,3,Both,15,50-54 years,1,Number,2023,10945.312876230202,11205.896063147546,10681.664784648758
50,Live births,214,Nigeria,3,Both,162,10-19 years,1,Number,2023,1136437.880393154,1327417.3322995887,972763.0960461731
50,Live births,214,Nigeria,3,Both,169,10-54 years,1,Number,2023,8496788.296585036,9176528.058178524,7888219.970969551
50,Live births,214,Nigeria,3,Both,215,35-54 years,1,Number,2023,1346738.814012754,1533996.8081898529,1166078.5024174338
50,Live births,214,Nigeria,3,Both,218,40-54 years,1,Number,2023,513161.20216899685,591634.0296911598,438250.2931657993
50,Live births,435,South Sudan,3,Both,7,10-14 years,1,Number,2023,2576.972461512653,5355.04220425632,1151.1065656754276
50,Live births,435,South Sudan,3,Both,8,15-19 years,1,Number,2023,45157.76047228054,53246.22458785751,38592.05981076087
50,Live births,435,South Sudan,3,Both,9,20-24 years,1,Number,2023,102719.99417979358,115568.51595620697,90751.07809844158
50,Live births,435,South Sudan,3,Both,10,25-29 years,1,Number,2023,63044.28735194164,68183.29768317362,58397.065933607955
50,Live births,435,South Sudan,3,Both,11,30-34 years,1,Number,2023,48660.40580721942,54705.14920152991,43155.6338371536
50,Live births,435,South Sudan,3,Both,12,35-39 years,1,Number,2023,32509.47932183704,38101.541392803134,27633.080352955873
50,Live births,435,South Sudan,3,Both,13,40-44 years,1,Number,2023,13902.325082687821,16603.119722152103,11365.479402666546
50,Live births,435,South Sudan,3,Both,14,45-49 years,1,Number,2023,3730.2563407947846,4815.513285296232,2820.556927456462
50,Live births,435,South Sudan,3,Both,15,50-54 years,1,Number,2023,257.7849275780278,263.9222046688833,251.57546559526412
50,Live births,435,South Sudan,3,Both,162,10-19 years,1,Number,2023,47734.73293379319,55758.29999828971,41134.586630399426
50,Live births,435,South Sudan,3,Both,169,10-54 years,1,Number,2023,312559.2659456455,349552.5128731525,279542.73949270847
50,Live births,435,South Sudan,3,Both,215,35-54 years,1,Number,2023,50399.845672897674,57010.98001886129,44459.20530460935
50,Live births,435,South Sudan,3,Both,218,40-54 years,1,Number,2023,17890.366351060635,21693.743308368892,14480.899478630177
50,Live births,522,Sudan,3,Both,7,10-14 years,1,Number,2023,723.2838325128781,1488.056884812795,323.8667389536457
50,Live births,522,Sudan,3,Both,8,15-19 years,1,Number,2023,73165.35023995825,86782.70391620978,60786.5510163983
50,Live births,522,Sudan,3,Both,9,20-24 years,1,Number,2023,167618.54900847372,202983.75424531268,137701.73446238152
50,Live births,522,Sudan,3,Both,10,25-29 years,1,Number,2023,240896.63831150343,264768.41513439856,220223.73923018973
50,Live births,522,Sudan,3,Both,11,30-34 years,1,Number,2023,214564.8229382736,240914.8448670349,191254.02898490432
50,Live births,522,Sudan,3,Both,12,35-39 years,1,Number,2023,128762.5993226978,149195.40358051145,109680.43229884288
50,Live births,522,Sudan,3,Both,13,40-44 years,1,Number,2023,34820.040106034496,43413.053576403974,27892.000367959172
50,Live births,522,Sudan,3,Both,14,45-49 years,1,Number,2023,5904.444721930968,8063.62509645786,4184.480904576868
50,Live births,522,Sudan,3,Both,15,50-54 years,1,Number,2023,454.5292942634669,465.35061050959126,443.5807008010852
50,Live births,522,Sudan,3,Both,162,10-19 years,1,Number,2023,73888.63407247112,87638.74676541361,61489.957755978314
50,Live births,522,Sudan,3,Both,169,10-54 years,1,Number,2023,866910.2577756486,980550.7919714354,766145.4787831245
50,Live births,522,Sudan,3,Both,215,35-54 years,1,Number,2023,169941.61344492674,199297.31953142348,143893.58267756674
50,Live births,522,Sudan,3,Both,218,40-54 years,1,Number,2023,41179.01412222893,50065.69527509195,33582.68891820407
50,Live births,125,Colombia,3,Both,7,10-14 years,1,Number,2023,1696.8773733804976,3491.8701905551043,759.51851723496
50,Live births,125,Colombia,3,Both,8,15-19 years,1,Number,2023,73322.64903955972,86289.79556923987,61376.715903505974
50,Live births,125,Colombia,3,Both,9,20-24 years,1,Number,2023,168472.91426792624,200994.52188134962,139400.75813924163
50,Live births,125,Colombia,3,Both,10,25-29 years,1,Number,2023,201679.1080947068,223345.0165615499,179974.16284143965
50,Live births,125,Colombia,3,Both,11,30-34 years,1,Number,2023,157611.41073236315,182985.1361761932,133994.14746896288
50,Live births,125,Colombia,3,Both,12,35-39 years,1,Number,2023,86063.45512805207,103896.42631849767,69898.40114466367
50,Live births,125,Colombia,3,Both,13,40-44 years,1,Number,2023,23407.70548531452,29655.280278118786,18238.211281077914
50,Live births,125,Colombia,3,Both,14,45-49 years,1,Number,2023,2331.1934825640114,3268.112965656472,1615.2061934404828
50,Live births,125,Colombia,3,Both,15,50-54 years,1,Number,2023,203.57250551002582,208.4191072339254,198.6688994474961
50,Live births,125,Colombia,3,Both,162,10-19 years,1,Number,2023,75019.52641294022,87918.69243339202,62742.64757113596
50,Live births,125,Colombia,3,Both,169,10-54 years,1,Number,2023,714788.886109377,828297.7176889777,613173.3797285332
50,Live births,125,Colombia,3,Both,215,35-54 years,1,Number,2023,112005.92660144063,136583.7395417057,91362.90130144656
50,Live births,125,Colombia,3,Both,218,40-54 years,1,Number,2023,25942.47147338856,33056.50843778043,20089.182144054867
50,Live births,157,Yemen,3,Both,7,10-14 years,1,Number,2023,991.8917655118519,2052.2603382333477,446.0815261152151
50,Live births,157,Yemen,3,Both,8,15-19 years,1,Number,2023,104875.89251786661,125165.0453426774,88902.41687034963
50,Live births,157,Yemen,3,Both,9,20-24 years,1,Number,2023,281570.25873307104,321133.86235856265,246414.52432300893
50,Live births,157,Yemen,3,Both,10,25-29 years,1,Number,2023,245425.79232096765,266708.5454770754,227395.5450405586
50,Live births,157,Yemen,3,Both,11,30-34 years,1,Number,2023,209458.650492837,234487.73875728593,187325.76030035535
50,Live births,157,Yemen,3,Both,12,35-39 years,1,Number,2023,137710.8341595811,159408.3783751677,119346.26248812095
50,Live births,157,Yemen,3,Both,13,40-44 years,1,Number,2023,56418.51626292562,66123.82405476848,47315.60727166762
50,Live births,157,Yemen,3,Both,14,45-49 years,1,Number,2023,14233.939001341036,17681.252154427053,11122.187379018025
50,Live births,157,Yemen,3,Both,15,50-54 years,1,Number,2023,914.0423028296822,935.8035863070967,892.0250693809148
50,Live births,157,Yemen,3,Both,162,10-19 years,1,Number,2023,105867.78428337845,126309.86368735606,89746.76528820732
50,Live births,157,Yemen,3,Both,169,10-54 years,1,Number,2023,1051599.8175569316,1182420.7313194033,943541.8574674088
50,Live births,157,Yemen,3,Both,215,35-54 years,1,Number,2023,209277.33172667745,236476.42184220732,187049.61048237787
50,Live births,157,Yemen,3,Both,218,40-54 years,1,Number,2023,71566.49756709635,84609.86775877219,59461.29174625506
50,Live births,160,Afghanistan,3,Both,7,10-14 years,1,Number,2023,1127.3640462210656,2337.576664511113,505.3594538106737
50,Live births,160,Afghanistan,3,Both,8,15-19 years,1,Number,2023,126686.75613850693,149273.32335052005,108625.56225479624
50,Live births,160,Afghanistan,3,Both,9,20-24 years,1,Number,2023,413855.9404642667,448865.81692882924,380480.4677196665
50,Live births,160,Afghanistan,3,Both,10,25-29 years,1,Number,2023,405917.386035628,424695.21825099364,388385.4727149687
50,Live births,160,Afghanistan,3,Both,11,30-34 years,1,Number,2023,234828.59458280233,251247.37535165178,217284.5270825007
50,Live births,160,Afghanistan,3,Both,12,35-39 years,1,Number,2023,100431.75303743558,111780.98534004047,89112.28174840512
50,Live births,160,Afghanistan,3,Both,13,40-44 years,1,Number,2023,39437.48731876154,45192.66553084563,33837.00889373055
50,Live births,160,Afghanistan,3,Both,14,45-49 years,1,Number,2023,21173.793177557895,25009.549063525723,17233.247424170335
50,Live births,160,Afghanistan,3,Both,15,50-54 years,1,Number,2023,2027.0947703509505,2075.3553199957846,1978.266593970686
50,Live births,160,Afghanistan,3,Both,162,10-19 years,1,Number,2023,127814.12018472799,150101.64622596683,109843.98169447696
50,Live births,160,Afghanistan,3,Both,169,10-54 years,1,Number,2023,1345486.169571531,1433427.5824985225,1266575.1102477105
50,Live births,160,Afghanistan,3,Both,215,35-54 years,1,Number,2023,163070.12830410595,183727.77734561815,142769.90630928936
50,Live births,160,Afghanistan,3,Both,218,40-54 years,1,Number,2023,62638.37526667039,72270.94816833333,53362.2609149647
50,Live births,161,Bangladesh,3,Both,7,10-14 years,1,Number,2023,11337.398066283236,23533.369488309396,5073.361120395976
50,Live births,161,Bangladesh,3,Both,8,15-19 years,1,Number,2023,599904.2306291279,695450.2403711305,506743.8312809669
50,Live births,161,Bangladesh,3,Both,9,20-24 years,1,Number,2023,983289.2980898299,1128712.8769028976,845485.3327633364
50,Live births,161,Bangladesh,3,Both,10,25-29 years,1,Number,2023,832175.5871839843,909441.0762205822,755873.8421613626
50,Live births,161,Bangladesh,3,Both,11,30-34 years,1,Number,2023,587940.1533667584,667256.3574417802,511338.82274924434
50,Live births,161,Bangladesh,3,Both,12,35-39 years,1,Number,2023,219905.29827888982,260490.60542372987,183021.10010892706
50,Live births,161,Bangladesh,3,Both,13,40-44 years,1,Number,2023,34818.52487444861,42809.118575051936,27168.93229146694
50,Live births,161,Bangladesh,3,Both,14,45-49 years,1,Number,2023,6411.574783668359,8253.459976505537,4856.342008538111
50,Live births,161,Bangladesh,3,Both,15,50-54 years,1,Number,2023,499.91522494025753,511.8170777220396,487.8733859815705
50,Live births,161,Bangladesh,3,Both,162,10-19 years,1,Number,2023,611241.6286954111,709955.5439206201,516316.66486303497
50,Live births,161,Bangladesh,3,Both,169,10-54 years,1,Number,2023,3276281.9804979307,3649354.1496170876,2919150.4247122346
50,Live births,161,Bangladesh,3,Both,215,35-54 years,1,Number,2023,261635.31316194704,303359.50870567316,225906.47989848387
50,Live births,161,Bangladesh,3,Both,218,40-54 years,1,Number,2023,41730.01488305723,49486.66486801076,34053.74093947311
50,Live births,165,Pakistan,3,Both,7,10-14 years,1,Number,2023,12402.691965416363,25560.410186165776,5561.977207049837
50,Live births,165,Pakistan,3,Both,8,15-19 years,1,Number,2023,499614.41631155857,600297.3376089575,421041.9445824363
50,Live births,165,Pakistan,3,Both,9,20-24 years,1,Number,2023,1615292.1253255,1884393.0239678791,1400493.9617983827
50,Live births,165,Pakistan,3,Both,10,25-29 years,1,Number,2023,1825644.2206391552,1967936.7597261013,1698559.762717748
50,Live births,165,Pakistan,3,Both,11,30-34 years,1,Number,2023,1197599.7996658674,1350074.2355321315,1064797.6080753359
50,Live births,165,Pakistan,3,Both,12,35-39 years,1,Number,2023,556401.5492696958,668522.4940294182,464645.87233270914
50,Live births,165,Pakistan,3,Both,13,40-44 years,1,Number,2023,156410.92048500976,197751.74934849475,121677.81664321829
50,Live births,165,Pakistan,3,Both,14,45-49 years,1,Number,2023,54811.400074328136,72077.75895984609,40672.095222132884
50,Live births,165,Pakistan,3,Both,15,50-54 years,1,Number,2023,3931.063441374266,4024.65318623684,3836.372920790372
50,Live births,165,Pakistan,3,Both,162,10-19 years,1,Number,2023,512017.10827697493,610030.2254635596,433857.2806955993
50,Live births,165,Pakistan,3,Both,169,10-54 years,1,Number,2023,5922108.187177906,6719126.985798608,5269023.161429814
50,Live births,165,Pakistan,3,Both,215,35-54 years,1,Number,2023,771554.933270408,920200.7104563294,646374.9408282961
50,Live births,165,Pakistan,3,Both,218,40-54 years,1,Number,2023,215153.38400071216,261083.31642199578,178182.7718860576
50,Live births,201,Burkina Faso,3,Both,7,10-14 years,1,Number,2023,7952.191828813928,16556.67528000059,3541.181079204391
50,Live births,201,Burkina Faso,3,Both,8,15-19 years,1,Number,2023,116266.6805249492,132865.0981983071,103098.84378375046
50,Live births,201,Burkina Faso,3,Both,9,20-24 years,1,Number,2023,281707.66123724583,304344.53668328543,260607.52103367884
50,Live births,201,Burkina Faso,3,Both,10,25-29 years,1,Number,2023,248460.8300603549,260247.62016041123,237113.9334167214
50,Live births,201,Burkina Faso,3,Both,11,30-34 years,1,Number,2023,185979.70646399568,197216.7097703232,174047.05626093972
50,Live births,201,Burkina Faso,3,Both,12,35-39 years,1,Number,2023,118289.04990315133,127701.84401042969,108403.21530159366
50,Live births,201,Burkina Faso,3,Both,13,40-44 years,1,Number,2023,46626.700862373626,50932.48768380415,42314.29181224644
50,Live births,201,Burkina Faso,3,Both,14,45-49 years,1,Number,2023,10576.899116924616,12314.131819961964,8864.56114110815
50,Live births,201,Burkina Faso,3,Both,15,50-54 years,1,Number,2023,766.9933018836496,785.2536806603182,748.5181497720552
50,Live births,201,Burkina Faso,3,Both,162,10-19 years,1,Number,2023,124218.87235376313,141363.2067461394,109928.73127393654
50,Live births,201,Burkina Faso,3,Both,169,10-54 years,1,Number,2023,1016626.7132996927,1074501.737952735,964904.6707643978
50,Live births,201,Burkina Faso,3,Both,215,35-54 years,1,Number,2023,176259.64318433322,191443.1408880191,160400.67533106802
50,Live births,201,Burkina Faso,3,Both,218,40-54 years,1,Number,2023,57970.593281181886,63960.525167301384,51997.46002947435
50,Live births,202,Cameroon,3,Both,7,10-14 years,1,Number,2023,9546.199671295033,19853.77759400096,4258.499553703799
50,Live births,202,Cameroon,3,Both,8,15-19 years,1,Number,2023,149321.76138591193,173779.92504474404,129370.39922731544
50,Live births,202,Cameroon,3,Both,9,20-24 years,1,Number,2023,294433.3381409312,330186.70375437266,263240.2364392613
50,Live births,202,Cameroon,3,Both,10,25-29 years,1,Number,2023,260093.81296359492,280228.9173265826,241636.0326886389
50,Live births,202,Cameroon,3,Both,11,30-34 years,1,Number,2023,216660.88880483856,238813.91158729556,196524.6139993072
50,Live births,202,Cameroon,3,Both,12,35-39 years,1,Number,2023,115576.22914578888,133164.17998042295,100069.91825270101
50,Live births,202,Cameroon,3,Both,13,40-44 years,1,Number,2023,37526.724995587385,44935.15363046499,31248.417705317348
50,Live births,202,Cameroon,3,Both,14,45-49 years,1,Number,2023,7144.0192984439345,9169.803091276106,5396.445052922214
